,title,number,created_at,closed_at,labels,state
3653,Coletor para o template Betha - Terceiro Setor - Aditivos,315,2022-02-11 11:26:42,2022-07-13 01:56:30,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""template-Betha""), Label(name=""tag-Terceiro Setor""), Label(name=""campo-Aditivos""), Label(name=""subtag-Dados de Parcerias"")]",closed
3654,Coletor para o template Betha - Servidores Públicos - Auxílios,311,2022-02-11 11:23:02,2022-07-13 02:10:25,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""template-Betha""), Label(name=""tag-Servidores Públicos""), Label(name=""não-localizado""), Label(name=""subtag-Auxílios"")]",closed
3656,Coletor para o template Betha - Informações Institucionais - Registro das Competências,319,2022-02-11 11:29:43,2022-07-13 01:47:24,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""template-Betha""), Label(name=""tag-Informações Institucionais""), Label(name=""não-localizado""), Label(name=""subtag-Registro das Competências"")]",closed
3658,Coletor para o template Betha - Concursos Públicos,316,2022-02-11 11:27:26,2022-07-13 01:51:58,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""template-Betha""), Label(name=""tag-Concursos Públicos""), Label(name=""não-localizado"")]",closed
3660,Coletor para o template Betha - Acesso à Informação - Informações,318,2022-02-11 11:29:33,2022-07-13 02:04:45,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""template-Betha""), Label(name=""tag-Acesso à Informação""), Label(name=""não-localizado""), Label(name=""subtag-Informações"")]",closed
3664,Coletor para o template Betha - Despesas - Leis orçamentárias,325,2022-02-11 14:36:47,2022-03-14 10:30:09,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""template-Betha""), Label(name=""tag-Despesas""), Label(name=""subtag-Leis Orçamentárias"")]",closed
3665,Coletor para o template Betha - Despesas - Empenhos e Pagamentos,326,2022-02-11 14:36:51,2022-03-22 22:10:47,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""template-Betha""), Label(name=""tag-Despesas""), Label(name=""subtag-empenhos"")]",closed
3668,Coletor para o template Betha - Acesso à Informação - Requisitos Exigidos,969,2022-06-27 20:20:02,2022-06-28 10:47:54,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""template-Betha""), Label(name=""tag-Acesso à Informação""), Label(name=""subtag-Requisitos Exigidos"")]",closed
3669,Coletor para o template Betha - Receitas - Maiores Arrecadações,971,2022-06-29 11:04:45,2022-06-29 12:46:01,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""template-Betha""), Label(name=""tag-Receitas""), Label(name=""subtag-Dados das receitas""), Label(name=""campo-Maiores Arrecadações"")]",closed
3670,Coletor para o template Siplanweb - Despesas - Contas Públicas,331,2022-03-02 18:04:19,2022-03-25 02:28:38,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""template-Siplanweb""), Label(name=""tag-Despesas""), Label(name=""subtag-Contas Públicas"")]",closed
3671,Coletor para o template Betha - Contratos,893,2022-05-30 10:45:26,2022-06-28 11:03:22,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""template-Betha""), Label(name=""tag-Contratos"")]",closed
3672,Coletor para o template ADPM (22) - Despesas com Diárias,894,2022-05-30 13:19:15,2022-06-06 12:32:46,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""template-ADPM""), Label(name=""tag-Despesas com diárias""), Label(name=""[0] Coleta"")]",closed
3673,Coletor para o template Síntese Tecnologia e Informática - Despesas - Relatório Gestão Fiscal,378,2022-03-14 12:16:35,2022-03-15 17:57:28,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""template-Síntese tecnologia informatica""), Label(name=""tag-Despesas""), Label(name=""subtag-Relatórios"")]",closed
3674,Coletor para o template Siplanweb - Despesas - Leis Orçamentárias,380,2022-03-18 00:56:56,2022-03-31 13:22:48,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""template-Siplanweb""), Label(name=""tag-Despesas""), Label(name=""subtag-Leis Orçamentárias"")]",closed
3676,Coletor para o template ADPM (22) - Orçamento - Execução,896,2022-06-03 00:56:27,2022-06-10 15:08:31,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""template-ADPM""), Label(name=""tag-Orçamento""), Label(name=""[0] Coleta""), Label(name=""subtag-Execução"")]",closed
3678,Coletor para o template Siplanweb - Servidores Públicos - Relatórios Mensais de Despesas,475,2022-03-31 13:52:45,2022-04-18 23:44:39,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""template-Siplanweb""), Label(name=""tag-Servidores Públicos""), Label(name=""subtag-Relatórios Despesas com Pessoal"")]",closed
3679,Coletor para o template ADPM (22) - Orçamento - Legislação,897,2022-06-08 00:37:54,2022-06-14 01:12:58,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""template-ADPM""), Label(name=""tag-Orçamento""), Label(name=""subtag-Legislação""), Label(name=""[0] Coleta"")]",closed
3680,Coletor para o template Siplanweb - Obras Públicas,480,2022-04-13 11:34:34,2022-04-13 11:54:40,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""template-Siplanweb""), Label(name=""tag-Obras Públicas""), Label(name=""não-localizado"")]",closed
3681,Coletor para o template Betha - Orçamento - Legislação,1043,2022-07-13 02:21:15,2022-07-28 10:53:19,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""template-Betha""), Label(name=""tag-Orçamento""), Label(name=""subtag-Legislação"")]",closed
3685,Coletor para template ADPM - Acesso à Informação - Dados Abertos,906,2022-06-23 14:23:05,2022-06-23 14:23:25,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""tag-Acesso à Informação""), Label(name=""template-ADPM""), Label(name=""não-localizado""), Label(name=""subtag-Dados Abertos"")]",closed
3686,Coletor para o template Siplanweb - Acesso à Informação - Dados Abertos,490,2022-04-22 23:04:00,2022-04-22 23:18:21,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""template-Siplanweb""), Label(name=""tag-Acesso à Informação""), Label(name=""não-localizado""), Label(name=""subtag-Dados Abertos"")]",closed
3687,Coletor para o template Siplanweb - Servidores Públicos - Dispêndios,488,2022-04-22 23:00:10,2022-04-22 23:18:20,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""template-Siplanweb""), Label(name=""tag-Servidores Públicos""), Label(name=""não-localizado""), Label(name=""subtag-Dispêndios"")]",closed
3688,Coletor para o template Siplanweb - Acesso à Informação - Relatório Estatístico,489,2022-04-22 23:02:37,2022-04-22 23:18:20,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""template-Siplanweb""), Label(name=""tag-Acesso à Informação""), Label(name=""não-localizado""), Label(name=""subtag-Relatório Estatístico"")]",closed
