#Rank,Municipio (Planilha),Municipio (Clustering),Desenvolvedor (Planilha),Template (Clustering),template_name_size,cluster_id,Portal da Transparência (validado)
129,Coromandel,Coromandel,prefeitura,dardanisistemas,Dardani Sistemas (4),662.0,http://sistemasonline.coromandel.mg.gov.br:8083/transparencia/
618,Crucilândia,Crucilândia,prefeitura,sem_nome_no_clustering,,87.0,http://www.contasabertas.inf.br/abre/6512bd43d9caa6e02c990b0a82652dca
45,Curvelo,Curvelo,prefeitura,sem_nome_no_clustering,,641.0,http://amfcorrea.ddns.net/pmAgilNET/Default.aspx
74,Diamantina,Diamantina,prefeitura,template1,Template1 (9),24.0,http://transparencia.diamantina.mg.gov.br/
594,Entre Folhas,Entre Folhas,prefeitura,sem_nome_no_clustering,,714.0,https://www.entrefolhas.mg.gov.br/leideacesso/menu-transparencia
248,Felixlândia,Felixlândia,prefeitura,sem_nome_no_clustering,,771.0,http://felixlandia.mg.gov.br/Transparencia/
379,Ferros,Ferros,prefeitura,sem_nome_no_clustering,,748.0,http://ferros.mg.gov.br/portal/?Link=Home
681,Gonçalves,Gonçalves,prefeitura,sem_nome_no_clustering,,197.0,http://portaltransparencia.goncalves.mg.gov.br/
753,Ibitiúra de Minas,Ibitiúra de Minas,prefeitura,sem_nome_no_clustering,,807.0,https://www.ibitiurademinas.mg.gov.br/transparencia.php
535,Inhaúma,Inhaúma,prefeitura,sem_nome_no_clustering,,334.0,https://transparencia.inhauma.mg.gov.br/
34,Itajubá,Itajubá,prefeitura,sem_nome_no_clustering,,318.0,http://www.itajuba.mg.gov.br/servicospmi/portal-da-transparencia/
546,Itueta,Itueta,prefeitura,sem_nome_no_clustering,,200.0,https://www.itueta.mg.gov.br/transparencia/
32,Ituiutaba,Ituiutaba,prefeitura,sem_nome_no_clustering,,273.0,https://www.ituiutaba.mg.gov.br/t/servicos/portal-da-transparencia
4,Juiz de Fora,Juiz de Fora,prefeitura,sem_nome_no_clustering,,63.0,https://www.pjf.mg.gov.br/transparencia/
701,Lagoa dos Patos,Lagoa dos Patos,prefeitura,sem_nome_no_clustering,,175.0,http://lagoadospatos.mg.gov.br/transparencia/
513,Luislândia,Luislândia,prefeitura,sem_nome_no_clustering,,356.0,https://www.luislandia.mg.gov.br/portal/transparencia/
293,Mar de Espanha,Mar de Espanha,prefeitura,sem_nome_no_clustering,,504.0,https://www.mardeespanha.com/transparencia
35,Nova Lima,Nova Lima,prefeitura,sem_nome_no_clustering,,165.0,https://novalima.mg.gov.br/portal-transparencia
543,Olhos-d'Água,Olhos-d'Água,prefeitura,sem_nome_no_clustering,,391.0,http://www.olhosdagua.mg.gov.br/portal-transparencia
51,Ouro Preto,Ouro Preto,prefeitura,sem_nome_no_clustering,,739.0,https://ouropreto.mg.gov.br/transparencia/
313,Pedras de Maria da Cruz,Pedras de Maria da Cruz,prefeitura,sem_nome_no_clustering,,769.0,https://www.pedrasdemariadacruz.mg.gov.br/Web/transparencia/
58,Pedro Leopoldo,Pedro Leopoldo,prefeitura,sem_nome_no_clustering,,366.0,http://pedroleopoldo.mg.gov.br/?page_id=5139
679,Pequi,Pequi,prefeitura,sem_nome_no_clustering,,677.0,https://www.pequi.mg.gov.br/pagina/view/2
699,Piedade de Ponte Nova,Piedade de Ponte Nova,prefeitura,sem_nome_no_clustering,,55.0,https://piedadedepontenova.mg.gov.br/acesso-a-informacao
